Abk,Name
EMR.DE,Emerson Electric Co.
EMXC.DE,Lyxor MSCI Emerging Markets Ex China UCITS ETF
ENB.DE,Ensign Energy Services Inc.
ENR.DE,Siemens Energy AG
ENY.DE,Cimarex Energy Co.
EPD.DE,Enterprise Products Partners L.P.
EPU.DE,Emperor Watch &amp; Jewellery Ltd
EQR.DE,Equity Residential
EQS.DE,EQS Group AG
ERO.DE,tmc Content Group AG
ESEA.DE,BNP Paribas Easy S&P 500 UCITS ETF
ESGE.DE,Invesco MSCI Europe ESG Universal Screened UCITS ETF
ESGU.DE,Invesco MSCI USA ESG Universal Screened UCITS ETF
ESGW.DE,Invesco MSCI World ESG Universal Screened UCITS ETF
ESI.DE,Electro Scientific Industries Inc.
ESRI.DE,BNP Paribas Easy MSCI Emerging SRI S-Series 5% Capped UCITS ETF Capitalisation
ETE.DE,Ekotechnika AG
ETG.DE,EnviTec Biogas AG
ETY.DE,Entergy Corporation
EUNA.DE,iShares Core Global Aggregate Bond UCITS ETF
EVI.DE,China Everbright Ltd.
EVN.DE,EVN AG
EVT.DE,Evotec SE
EVUS.DE,BNP Paribas Easy Equity Value US UCITS ETF Capitalisation
EWL.DE,Edwards Lifesciences Corporation
EWW.DE,Energy World Corporation Ltd.
EWZ.DE,Ebix Inc.
EXB.DE,Exeter Resource Corporation
EXC.DE,exceet Group SCA
EXK.DE,Exact Sciences Corporation
EXP.DE,"Essex Property Trust, Inc."
EXXY.DE,iShares Diversified Commodity Swap UCITS ETF (DE)
EZJ.DE,Elixir Petroleum Limited
EZM.DE,Compagnie Plastic Omnium SA
FAN.DE,Fabrinet
FAS.DE,Fastenal Co
FCLD.DE,Fidelity Cloud Computing UCITS ETF
FCT.DE,"MyPhotoAlbum, Inc."
FDD.DE,Pilkington Deutschland AG
FDHT.DE,Fidelity Digital Health UCITS ETF
FDM.DE,Fresh Del Monte Produce Inc.
FDN.DE,EnerSys
FDRV.DE,Fidelity Electric Vehicles and Future Transportation UCITS ETF
FDX.DE,FedEx Corporation
FEEM.DE,Invesco Goldman Sachs Equity Factor Index Emerging Markets UCITS ETF
FEM.DE,"Acorn International, Inc."
FET.DE,Far East Consortium International Ltd.
FEX.DE,First Trust US Large Cap Core AlphaDEX UCITS ETF Class A USD
FFC.DE,Fifth Street Finance Corp.
FGD.DE,Syneron Medical Ltd.
FLRG.DE,Franklin Euro Green Bond UCITS ETF
FLXE.DE,Franklin Emerging Markets UCITS ETF
FLXI.DE,Franklin FTSE India UCITS ETF
FLXP.DE,Franklin STOXX Europe 600 Paris Aligned Climate UCITS ETF
FLXT.DE,Franklin FTSE Taiwan UCITS ETF
FMF.DE,FormFactor Inc.
FMNB.DE,Leonardo - Finmeccanica S.p.a.
FNA.DE,First Niagara Financial Group Inc.
FNG.DE,Fritz Nols AG
FNI.DE,Fosun International Limited
FNRG.DE,Fidelity Clean Energy UCITS ETF
FOMC.DE,"Fomento Económico Mexicano, S.A.B de C.V
"
FPE.DE,Fuchs Petrolub SE
FPH.DE,Francotyp-Postalia Holding AG
FRA.DE,Fraport AG
FRO.DE,"Fröhlich Bau AG
"
FTGS.DE,FIRST TRUST GLOBAL FUNDS PLC - First Trust Global Capital Strength ESG Leaders UCITS ETF
FTK.DE,flatexDEGIRO AG
FVD.DE,First Trust Value Line Dividend Index UCITS ETF
FXH.DE,Fairfax Media Limited
FXI.DE,Flextronics International Ltd.
GAB.DE,German American Bancorp Inc.
GAN.DE,"Naturgy Energy Group, S.A."
GAQ.DE,3W Power SA
GBF.DE,Bilfinger SE
GCC.DE,C&amp;C Group plc
GCI.DE,MS Industrie AG
GDC.DE,Global Digital Creations Holdings Limited
GDG.DE,CGG
GDO.DE,Rogue Resources Inc.
GDX.DE,General Dynamics Corporation
GENY.DE,Lyxor Index Fund - Lyxor MSCI Millennials ESG Filtered (DR) UCITS ETF
GFIN.DE,Georg Fischer AG
GFX.DE,"Gitennes Exploration, Inc."
GGG.DE,PT Gudang Garam Tbk
GGN.DE,Ceragon Networks Ltd.
GGZ.DE,Golden Goliath Resources Ltd.
GHL.DE,Gindalbie Metals Ltd.
GIB.DE,GSW Immobilien AG
GIF.DE,GigaMedia Ltd.
GIL.DE,DMG MORI AKTIENGESELLSCHAFT
GIS.DE,"Gilead Sciences, Inc."
GJR.DE,Centamin Plc
GLO.DE,Global Payments Inc.
GLT.DE,Terra Nova Energy Ltd.
GLUX.DE,Amundi Index Solutions - Amundi S&P Global Luxury
GLV.DE,Glorious Sun Enterprises Ltd.
GLW.DE,Corning Incorporated
GME.DE,Geratherm Medical AG
GMM.DE,Grammer AG
GNK.DE,Greene King plc
GNL.DE,Resource Capital Gold Corp.
GOAI.DE,Amundi Stoxx Global Artificial Intelligence
GOV.DE,Insulet Corporation
GPT.DE,Genuine Parts Company
GRC.DE,Lyxor MSCI Greece UCITS ETF
GRF.DE,Greiffenberger AG
GRID.DE,First Trust Nasdaq Clean Edge Smart Grid Infrastructure UCITS ETF
GRX.DE,Expat Greece ASE UCITS ETF
GSG.DE,Shengli Oil &amp; Gas Pipe Holdings Limited
GSL.DE,Novanta Inc.
GSM.DE,Grupo Simec S.A.B. de C.V.
GSR.DE,Gossan Resources Ltd.
GSUN.DE,I.I.S+P 500 E.W.LS H.A.LS
